Company Name,Bilant
AMA ENERGY INVEST SRL,"Cifra
Afaceri Profit
Net Datorii Active
Imobilizate Active
Circulante Capitaluri
Proprii Angajați
(nr. mediu)
2022 379 001 5 724 438 031 100 121 422 450 84 540 1
2021 640 633 25 452 394 789 124 344 349 261 78 816 1
2020 565 142 27 148 237 746 3 979 287 130 53 363 1
2019 655 119 59 657 310 267 7 108 329 374 26 215 1
2018 580 020 5 467 309 778 2 733 273 604 -33 441 1
2017 481 656 17 923 247 281 4 759 198 658 -43 864 1
2016 321 471 2 917 186 151 2 442 127 261 -56 448 1
2015 538 746 2 534 354 871 1 295 505 -59 365 1
2014 346 372 1 787 317 043 2 929 252 215 -61 899 1
2013 561 583 5 033 220 882 9 156 148 041 -63 685 1
2012 292 762 -50 303 303 280 16 883 217 679 -68 718 0
2011 872 387 8 779 316 192 26 071 271 706 -18 415 1
2010 1 461 017 2 793 356 352 43 094 286 064 -27 194 0
2009 368 804 -24 058 157 246 35 061 92 198 -29 987 0
2008 577 296 2 598 300 282 36 203 258 150 -5 929 1
2007 112 111 -8 727 83 568 51 680 23 361 -8 527 1

Cifra Afaceri
Profit Net
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
-100,000
0
100,000
200,000
300,000
400,000
500,000
600,000
700,000
RON

(cu 0 apar și valorile nedeclarate)
Moneda 
RON
EUR
USD"
Company Name,Bilant
BORG DESIGN SRL,"Cifra
Afaceri Profit
Net Datorii Active
Imobilizate Active
Circulante Capitaluri
Proprii Angajați
(nr. mediu)
2022 3 708 712 351 060 1 522 077 247 479 1 689 945 351 447 23
2021 3 546 373 1 213 964 346 763 214 538 1 471 597 1 214 351 22
2020 3 004 316 652 561 708 010 219 391 1 674 404 1 185 785 22
2019 3 826 303 1 232 008 296 849 330 323 1 690 330 1 723 804 24
2018 4 109 725 960 910 278 943 495 925 1 597 894 1 814 876 26
2017 3 916 147 523 535 741 134 601 188 1 816 862 1 676 916 23
2016 3 933 824 1 152 997 381 546 391 003 1 143 910 1 153 367 20
2015 2 887 244 484 576 1 214 974 441 676 2 229 893 1 456 595 21
2014 2 635 162 370 450 1 489 449 422 734 2 038 734 972 019 20
2013 2 626 499 -27 529 1 587 239 912 734 1 848 974 1 174 469 13
2012 2 688 008 525 813 1 381 691 3 003 322 645 032 2 266 708 13
2011 2 466 053 535 480 1 237 581 2 707 836 270 602 1 740 894 13
2010 2 198 391 605 986 705 831 1 616 699 294 507 1 205 414 13
2009 1 805 280 -22 749 630 574 887 189 346 492 603 251 12
2008 1 931 071 29 280 846 387 939 426 532 961 626 000 9
2007 1 215 826 328 102 529 690 793 381 333 001 596 692 7
2006 728 177 149 266 191 582 262 033 198 139 268 590 7
2005 276 529 134 898 41 490 46 213 114 601 119 324 3

Cifra Afaceri
Profit Net
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
-1,000,000
0
1,000,000
2,000,000
3,000,000
4,000,000
5,000,000
RON

(cu 0 apar și valorile nedeclarate)
Moneda 
RON
EUR
USD"
Company Name,Bilant
PUR AUTENTIC SRL,"Cifra
Afaceri Profit
Net Datorii Active
Imobilizate Active
Circulante Capitaluri
Proprii Angajați
(nr. mediu)
2022 4 851 370 3 368 576 2 365 949 2 436 236 12 620 940 10 827 234 3
2021 4 292 667 3 036 745 401 898 500 000 8 475 085 7 458 658 3
2020 4 816 097 4 693 054 82 452 0 4 817 711 4 735 259 2
2019 14 580 -8 414 8 412 14 779 35 738 42 105 0
2018 293 425 192 581 708 17 378 176 151 192 821 1
2017 236 630 81 091 23 026 0 106 466 83 440 1
2016 87 249 2 149 4 710 4 414 2 645 2 349 1
2015 46 125 34 733 10 158 8 876 36 215 34 933 0

Cifra Afaceri
Profit Net
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
-1,000,000
0
1,000,000
2,000,000
3,000,000
4,000,000
5,000,000
6,000,000
RON

(cu 0 apar și valorile nedeclarate)
Moneda 
RON
EUR
USD"
Company Name,Bilant
SURUB EXPERT SRL,"Cifra
Afaceri Profit
Net Datorii Active
Imobilizate Active
Circulante Capitaluri
Proprii Angajați
(nr. mediu)
2022 2 560 355 1 004 492 99 413 448 068 1 327 773 1 680 069 5
2021 2 110 608 822 830 100 623 367 032 1 096 439 1 365 578 6
2020 1 538 926 434 602 127 016 405 635 832 296 1 112 748 6
2019 1 463 502 420 313 101 661 443 977 808 787 1 153 146 6
2018 1 329 965 316 942 78 797 463 059 607 078 992 834 6
2017 1 048 167 309 275 95 616 432 448 537 751 875 892 5
2016 798 164 177 435 43 699 462 262 329 019 748 617 5
2015 836 264 144 466 49 850 392 795 267 702 611 182 3
2014 649 975 136 760 83 010 238 641 309 606 466 715 3
2013 681 841 81 941 157 080 254 842 231 080 329 955 3
2012 789 886 78 083 75 574 93 690 318 592 337 533 3
2011 915 498 116 605 79 323 69 735 291 061 282 650 4
2010 831 934 325 924 86 835 32 696 382 891 329 007 5
2009 48 949 5 823 10 322 0 13 000 3 082 0
2008 3 498 -8 777 3 255 0 514 -2 741 1
2007 64 999 9 404 7 173 149 13 061 6 037 2
2006 8 307 -3 567 9 471 389 5 715 -3 367 2

Cifra Afaceri
Profit Net
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
0
500,000
1,000,000
1,500,000
2,000,000
2,500,000
3,000,000
RON

(cu 0 apar și valorile nedeclarate)
Moneda 
RON
EUR
USD"
Company Name,Bilant
ELSYLINE SRL,"Cifra
Afaceri Profit
Net Datorii Active
Imobilizate Active
Circulante Capitaluri
Proprii Angajați
(nr. mediu)
2022 1 448 976 263 177 56 719 382 799 175 375 502 797 2
2021 1 058 049 292 159 37 234 428 434 214 046 606 988 2
2020 958 726 183 892 50 155 225 021 242 447 451 671 3
2019 1 245 196 179 641 207 058 295 638 128 899 267 779 5
2018 1 085 352 183 684 56 005 142 820 195 365 284 980 5
2017 692 210 68 310 118 712 126 115 114 571 127 487 3
2016 523 871 55 000 169 611 81 633 130 609 59 176 3
2015 685 185 136 593 47 326 28 271 366 916 347 861 3
2014 300 141 38 207 110 414 58 749 267 933 216 268 1
2013 769 744 48 318 77 830 77 843 183 048 183 061 1
2012 265 198 10 292 47 416 23 702 168 457 144 743 2
2011 513 109 162 400 60 835 31 320 193 966 164 451 2
2010 291 495 8 189 100 072 45 629 63 218 10 051 5
2009 212 008 5 080 129 809 61 182 74 300 6 862 5
2008 315 328 37 566 106 382 77 069 62 390 38 782 6
2007 171 884 30 706 77 879 64 652 44 443 31 216 6
2006 149 244 13 046 34 198 41 429 21 279 28 510 7
2005 128 941 33 264 34 782 49 311 18 935 33 464 4

Cifra Afaceri
Profit Net
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
0
200,000
400,000
600,000
800,000
1,000,000
1,200,000
1,400,000
1,600,000
RON

(cu 0 apar și valorile nedeclarate)
Moneda 
RON
EUR
USD"
Company Name,Bilant
BELCO SECURITY SOLUTIONS SRL,"Cifra
Afaceri Profit
Net Datorii Active
Imobilizate Active
Circulante Capitaluri
Proprii Angajați
(nr. mediu)
2022 311 208 -6 718 16 910 29 732 25 569 38 391 1
2021 429 528 -26 615 16 998 31 685 40 949 55 636 1
2020 127 087 44 570 10 195 32 230 86 426 108 461 1
2019 124 633 -68 224 11 245 49 332 51 593 89 680 1
2018 137 723 17 899 14 706 67 209 129 611 182 114 1
2017 204 148 39 221 45 722 100 222 132 664 186 320 3
2016 333 780 145 899 40 025 58 914 129 456 147 099 1
2015 297 380 82 359 38 985 76 532 191 902 228 203 1
2014 210 399 -5 569 52 397 91 904 137 035 175 296 3
2013 260 796 -55 918 34 988 35 569 181 530 180 865 4
2012 257 877 4 496 93 665 105 398 210 166 220 653 2
2011 425 837 6 536 110 173 85 602 219 836 195 265 2
2010 168 820 -68 301 16 310 73 139 129 575 188 729 1
2009 196 843 47 124 15 738 110 895 159 897 257 030 2
2008 93 423 -41 007 69 937 218 404 35 134 185 577 2
2007 23 312 -76 407 52 577 246 763 32 398 226 584 2
2006 396 452 252 868 155 682 102 228 352 061 302 991 2
2005 386 627 212 085 82 038 58 873 285 373 262 208 3

Cifra Afaceri
Profit Net
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
-100,000
0
100,000
200,000
300,000
400,000
500,000
RON

(cu 0 apar și valorile nedeclarate)
Moneda 
RON
EUR
USD"
