Name,CUI,Registration Number,EUID,Start Date,Description,State,City,Address,Phones,Fax,Email,Website,CAEN,Activity,Description of Activity
AMA ENERGY INVEST SRL,22375320,J40/16769/2007,ROONRC.J40/16769/2007,2007..,"Descrierea firmei AMA ENERGY INVEST SRL
Comercializare de produse diverse, cu preponderență produse electrice și energetice",Bucuresti,Sectorul 3,"web
Link WebSite",0783-011.1 - -,"031-817.90 - -
0722-547.4 - -","come - -
offi - -",nk WebSite,46 - -,Inter - -,Aceasta clasa exclude: - -
Name,CUI,Registration Number,EUID,Start Date,Description,State,City,Address,Phones,Fax,Email,Website,CAEN,Activity,Description of Activity
BORG DESIGN SRL,RO 14837428 platitor de TVA (la facturare),J40/8118/2002,ROONRC.J40/8118/2002,26.08.2002 (21 ani),"Descrierea firmei BORG DESIGN SRL
Borg Design este o companie cu capital privat ale cărei principale activităţi sunt dezvoltarea şi distribuţia de software precum şi consultanţă in tehnologia informaţiei. În particular, preocupările Borg Design sunt orientate şi către Inteligenţa Artificială.
Software-ul dezvoltat de Borg Design are la bază solicitările, indicaţiile şi sugestiile clienţilor, şi are ca utilitate posibilitatea rapidă şi automatizată de a accesa şi prelucra informaţii publice de interes general. Obiectivul Borg Design este de a colecţiona aceste informaţii şi a vi le pune la dispoziţie intr-o formă prelucrată, alături de unele unelte software care au ca scop economisirea timpului dumneavoastră de informare şi in special a costurilor.
Borg Design şi-a inceput activitatea in septembrie 2003, a realizat pană in prezent mai multe colecţii de date cu informaţii de interes public şi unele unelte software populare:
CD-ul Lista Firme;
Asistent Financiar;
Expert Email Validator;
TVA Validator;
Programul Telefoane.",Bucuresti,Sectorul 5,"web
http://www.listamarci.ro
https://www.borgdesign.ro","0730-593.252
0731-013.139
0731-013.138
0722-131.540",-,office@borgdesign.ro,"tp://www.listamarci.ro
https://www.borgdesign.ro",6201,Activitati de realizare a soft-ului la comanda (software orientat client),"Aceasta clasa include activitatile de scriere (programare), modificare, testare si asistenta privind produsele software. Este asemenea inclusa scrierea de programe urmand indicatiile utilizatorilor (programe orientate pe client).
Aceasta clasa include:
-proiectarea structurii si continutului si/sau scrierea codului de calculator necesar pentru a crea si implementa:
-sisteme software
-aplicatii software
-baze de date
-pagini web
-adaptarea software-ului potrivit cerintelor specifice, adica modificarea si configurarea unei aplicatii existente astfel incat devine compatibila si functionala, potrivit mediului sistemului informatic al clientului
Aceasta clasa exclude:
-publicarea pachetelor de programe, vezi 5829
-transpunerea sau adaptarea software-ului nespecializat pentru o anumita piata, pe cont propriu, vezi 5829
-planificarea si proiectarea sistemelor de calcul electronic ce integreaza echipament, software si tehnologii de comunicatii, chiar daca software-ul furnizat este o componenta integranta, vezi 6202"
Name,CUI,Registration Number,EUID,Start Date,Description,State,City,Address,Phones,Fax,Email,Website,CAEN,Activity,Description of Activity
PUR AUTENTIC SRL,RO 35169232 platitor de TVA (la facturare),J12/3262/2015,ROONRC.J12/3262/2015,27.10.2015 (8 ani),Descrierea firmei PUR AUTENTIC SRL,Cluj,Loc. Cluj Napoca,web -,0786-111.200,-,autenticpur@gmail.com,,7022,Activitati de consultanta pentru afaceri si management,"Aceasta clasa include acordarea de consultatii, indrumare si asistenta operationala pentru firme si alte organizatii pe probleme de management, cum ar fi: planificarea strategica si organizatorica, procese de retehnologizare, managementul schimbarilor, reducerea costurilor si alte probleme financiare; obiective si strategii de marketing; planificarea, si politici privind resursele umane; strategii de compensare si pensionare; planificarea productiei si planificarea controlului.
Aceste servicii pentru afaceri pot include consultanta, indrumare sau asistenta operationala pentru firme si servicii publice cu privire la:
-proiectarea metodelor sau procedurilor contabile, programe de contabilizare a costurilor, proceduri de control bugetar
-consultanta si asistenta acordata firmelor si serviciilor publice pentru planificare, organizare eficienta si control, managementul informatiei etc.
Aceasta clasa exclude:
-proiectarea de software (programe) pentru sisteme de contabilitate, vezi 6201
-consultanta si reprezentare juridica, vezi 6910
-activitati de contabilitate si audit financiar, consultanta in domeniul fiscal, vezi 6920
-activitati de consultanta legate de arhitectura si inginerie, vezi 7111; 7112
-activitati de consultanta legate de mediul inconjurator, agronomie, securitate si similare, vezi 7490
-activitati de consultanta privind selectia si plasarea fortei de munca, vezi 7810
-activitati de consultanta in invatamant, vezi 8560"
Name,CUI,Registration Number,EUID,Start Date,Description,State,City,Address,Phones,Fax,Email,Website,CAEN,Activity,Description of Activity
SURUB EXPERT SRL,19134267,J01/1089/2006,ROONRC.J1/1089/2006,2006..,"Descrierea firmei SURUB EXPERT SRL
   şurubexpert ® şuruburi metrice stoc impresionant de suruburi toate tipurile :
cu cap hexagonal ISO 4014 ȘI 4017, suruburi cu cap IMBUS ISO 4762,  suruburi pentru PAL cu cap inecat si bombat, suruburi pentru lemn sau PAL cu cap HEXAGONAL DIN 571, suruburi de TABLA , Suruburi autoforante, suruburi rigips, suruburi cap torbant,tije filetate , saibe plate normale sau largi, piulite hexagonale ,piulite de cuplare, comercializeaza absolut toata gama de organe de asamblare.

pentru INFORMATII PRODUSE și oferte de preț sunati la nr. de telefon 0727885509 sau 0752564310",Alba,Loc. Alba Iulia,"web
Link WebSite
http - -","0742-125.9 - -
0787-324.7 - -
0752-564.3 - -
0727-885.5 - -",0258-813.5 - -,"suru - -
suru - -
offi - -
admi - -","nk WebSite
http - -",46 - -,Comer - -,Aceasta clasa include: - -
Name,CUI,Registration Number,EUID,Start Date,Description,State,City,Address,Phones,Fax,Email,Website,CAEN,Activity,Description of Activity
ELSYLINE SRL,16472050,J24/841/2004,ROONRC.J24/841/2004,2004..,"Descrierea firmei ELSYLINE SRL
ELSYLINE va ofera urmatoarele servicii:

-publicitate exterioara-afise in exteriorul mijloacelor de transport in comun,bannere aeriene,bannere cu fata dubla,meshuri,prelate auto flexibile;

-obiecte promotionale pe suport de hartie-agende A5 datate,albume foto,ambalaje tiparite,brosuri,calendare,cataloage,felicitari,fluturasi,mape de prezentare,pliante,plicuri personalizate,postere,harti;

-obiecte promotionale corporale-banderole,sepci,tricouri,salopete,scurte;

-alte obiecte promotionale-baloane decorative,brelocuri,pixuri,pungi inscriptionate;

-mijloace media-televiziune,radio,ziare;

-promovare in CATALOGUL PUBLICITAR TOP ELSYLINE;

-publicitate stradala-distributie organizata de pliante ,expozitii stradale;

-organizare evenimente-lansari de produse,spectacole publicitare

,congrese,intalniri de afaceri,participarea la expozitii in diferite domenii;

-campanii publicitare in magazine;

-prezentari de produse si servicii in cadrul expozitiilor;

-publicitate internet.",Maramures,Loc. Tautii Magheraus,"web
Link WebSite","0740-329.8 - -
0788-329.8 - -",0362-401.8 - -,"info - -
elsy - -",nk WebSite,73 - -,Activ - -,Aceasta clasa include - -
Name,CUI,Registration Number,EUID,Start Date,Description,State,City,Address,Phones,Fax,Email,Website,CAEN,Activity,Description of Activity
BELCO SECURITY SOLUTIONS SRL,11053078,J40/9012/1998,ROONRC.J40/9012/1998,1998..,"Descrierea firmei BELCO SECURITY SOLUTIONS SRL
Comercializare, instalare, intretinere echipamente alarma efractie, incendiu, control acces, supraveghere video",Bucuresti,Sectorul 5,"web
Link WebSite
http - -","0788-223.2 - -
0788-530.6 - -
0732-965.7 - -
0732-612.7 - -",021-424.55 - -,"alar - -
offi - -
cont - -","nk WebSite
http - -",43 - -,Lucra - -,Aceasta clasa include - -
